issue,statement,scientific_consensus,public_agreement,science_source, public_source, science_link, public_link
Climate Change is Human-Caused,Human activities are the primary cause of current climate change through greenhouse gas emissions
COVID-19 Vaccine Safety,COVID-19 vaccines are safe and effective at preventing severe disease and death
Evolution by Natural Selection,Humans and other species evolved through natural selection over millions of years
GMO Food Safety,Genetically modified foods currently available are safe to eat
Nuclear Energy Safety,"Modern nuclear power is a safe, low-carbon energy source when properly regulated"
Fluoridated Water Safety,Water fluoridation at recommended levels is safe and prevents tooth decay
Vaccine-Autism Link,There is no causal link between vaccines and autism
5G Technology Health Effects,5G wireless technology poses no known health risks at current exposure levels
Effectiveness of Masks for Disease Prevention,Masks effectively reduce transmission of respiratory diseases when properly worn
Age of the Earth,Earth is approximately 4.54 billion years old based on radiometric dating,,40,,Gallup 2019,,https://news.gallup.com/poll/261680/americans-believe-creationism.aspx
